Length	GC	C	R	Illumina	Nanopore	rrna	trna	taxonomy
3.14	62.8	98.59	0	392	193	2	48	Parvibaculum 
4.47	64.4	100	2.82	402	94	2	49	Rhizobiaceae 
3.73	63.9	100	0	68	32	2	46	Unknown 
3.84	63.5	98.59	1.41	184	67	4	45	Blastomonas 
3.74	72.4	100	0	121	39	4	63	UBA2363  
5.16	42.6	98.59	0	180	97	6	40	Algoriphagus 
3.98	66.9	100	1.41	41	16	4	51	Tabrizicola 
3.96	71.9	98.59	2.82	125	57	2	53	UBA4742 
4.68	66.1	100	2.82	57	17	4	52	Rhodobacteraceae 
5.79	66.3	100	2.82	35	14	4	55	Aquimonas 
0.79	51	85.92	4.23	88	36	2	40	UBA1547 
3.06	65.9	100	0	1107	355	2	48	Brevundimonas 
2.88	64.4	100	0	94	35	2	44	Oceanicaulis
