gc_content gc_skew gc_culm
0.647 -9.11901081916538 -9.11901081916538
0.668 4.19161676646707 -4.92739405269831
0.595 5.21008403361345 0.282689980915133
0.628 0.955414012738854 1.23810399365399
0.664 -3.31325301204819 -2.07514901839421
0.662 -4.22960725075529 -6.30475626914949
0.663 -7.99396681749623 -14.2987230866457
0.633 -8.37282780410743 -22.6715508907531
0.664 -3.91566265060241 -26.5872135413556
0.675 -8.14814814814815 -34.7353616895037
0.645 -7.28682170542636 -42.0221833949301
0.65 -4.61538461538461 -46.6375680103147
0.6 -8 -54.6375680103147
0.671 -9.38897168405365 -64.0265396943683
0.622 -0.964630225080386 -64.9911699194487
0.638 -10.9717868338558 -75.9629567533045
0.668 -11.9760479041916 -87.9390046574961
0.627 -6.53907496012759 -94.4780796176237
0.638 -8.46394984326019 -102.942029460884
0.64 -5.3125 -108.254529460884
0.608 7.56578947368421 -100.6887399872
0.612 -6.5359477124183 -107.224687699618
0.652 -1.53374233128834 -108.758430030906
0.648 -2.16049382716049 -110.918923858067
0.625 -3.68 -114.598923858067
0.647 0.463678516228748 -114.135245341838
0.667 -2.24887556221889 -116.384120904057
0.652 -2.76073619631902 -119.144857100376
0.67 -2.6865671641791 -121.831424264555
0.699 3.57653791130186 -118.254886353253
0.646 5.88235294117647 -112.372533412077
0.639 2.660406885759 -109.712126526318
0.641 -5.14820592823713 -114.860332454555
0.644 0 -114.860332454555
0.604 -4.3046357615894 -119.164968216144
0.647 -6.64605873261206 -125.811026948756
0.661 -5.29500756429652 -131.106034513053
0.623 -0.802568218298555 -131.908602731351
0.646 -1.23839009287926 -133.146992824231
0.647 0.463678516228748 -132.683314308002
0.659 -5.61456752655539 -138.297881834557
0.655 -6.56488549618321 -144.862767330741
0.649 -8.78274268104777 -153.645510011788
0.691 -13.1693198263386 -166.814829838127
0.637 -5.80847723704867 -172.623307075176
0.665 -2.85714285714286 -175.480449932318
0.533 -2.81425891181989 -178.294708844138
0.599 -11.5191986644407 -189.813907508579
0.57 0.701754385964912 -189.112153122614
0.603 -10.1160862354892 -199.228239358103
0.651 -5.99078341013825 -205.219022768242
0.665 -9.77443609022556 -214.993458858467
0.634 -1.57728706624606 -216.570745924713
0.624 3.20512820512821 -213.365617719585
0.609 -3.44827586206897 -216.813893581654
0.666 -3.6036036036036 -220.417497185258
0.674 -10.3857566765579 -230.803253861816
