gc_content gc_skew gc_culm
0.647 -9.11901081916538 -9.11901081916538
0.667 4.047976011994 -5.07103480717138
0.595 5.21008403361345 0.13904922644207
0.63 0.952380952380952 1.09143017882302
0.664 -3.31325301204819 -2.22182283322517
0.662 -4.22960725075529 -6.45143008398046
0.663 -7.99396681749623 -14.4453969014767
0.633 -8.37282780410743 -22.8182247055841
0.666 -4.2042042042042 -27.0224289097883
0.675 -8.14814814814815 -35.1705770579365
0.645 -7.28682170542636 -42.4573987633628
0.65 -4.61538461538461 -47.0727833787474
0.6 -8 -55.0727833787474
0.671 -9.38897168405365 -64.4617550628011
0.623 -1.12359550561798 -65.5853505684191
0.638 -10.9717868338558 -76.5571374022749
0.67 -11.9402985074627 -88.4974359097375
0.627 -6.53907496012759 -95.0365108698651
0.638 -8.46394984326019 -103.500460713125
0.64 -5.3125 -108.812960713125
0.608 7.56578947368421 -101.247171239441
0.612 -6.5359477124183 -107.783118951859
0.654 -1.52905198776758 -109.312170939627
0.649 -2.00308166409861 -111.315252603726
0.624 -3.52564102564103 -114.840893629367
0.65 0.307692307692308 -114.533201321674
0.67 -2.08955223880597 -116.62275356048
0.655 -3.20610687022901 -119.828860430709
0.67 -2.38805970149254 -122.216920132202
0.7 3.71428571428571 -118.502634417916
0.645 5.73643410852713 -112.766200309389
0.638 2.50783699059561 -110.258363318793
0.643 -5.13219284603421 -115.390556164828
0.643 -0.15552099533437 -115.546077160162
0.605 -4.46280991735537 -120.008887077517
0.647 -6.33693972179289 -126.34582679931
0.66 -5.45454545454545 -131.800372253856
0.627 -0.478468899521531 -132.278841153377
0.647 -1.39103554868624 -133.669876702063
0.647 0.463678516228748 -133.206198185835
0.66 -5.45454545454545 -138.66074364038
0.658 -6.68693009118541 -145.347673731566
0.65 -8.61538461538461 -153.96305834695
0.692 -13.2947976878613 -167.257856034811
0.636 -5.66037735849057 -172.918233393302
0.672 -2.97619047619048 -175.894423869493
0.531 -2.82485875706215 -178.719282626555
0.599 -11.5191986644407 -190.238481290995
0.573 0.523560209424084 -189.714921081571
0.601 -9.81697171381032 -199.531892795382
0.659 -6.22154779969651 -205.753440595078
0.663 -9.80392156862745 -215.557362163706
0.64 -1.25 -216.807362163706
0.63 2.85714285714286 -213.950219306563
0.61 -2.95081967213115 -216.901038978694
0.666 -3.6036036036036 -220.504642582297
0.674 -10.6824925816024 -231.1871351639
0.655 -6.25954198473282 -237.446677148633
0.641 1.09204368174727 -236.354633466885
0.597 -5.19262981574539 -241.547263282631
0.638 2.50783699059561 -239.039426292035
0.64 0.9375 -238.101926292035
0.685 -3.64963503649635 -241.751561328532
0.684 -0.292397660818713 -242.04395898935
0.657 -0.15220700152207 -242.196165990872
0.647 3.24574961360124 -238.950416377271
0.656 -3.04878048780488 -241.999196865076
0.646 0 -241.999196865076
0.665 -3.7593984962406 -245.758595361317
0.661 -9.83358547655068 -255.592180837867
