gc_content gc_skew gc_culm
0.445 -2.92134831460674 -2.92134831460674
0.479 0.208768267223382 -2.71258004738336
0.472 5.50847457627119 2.79589452888783
0.475 0.631578947368421 3.42747347625625
0.492 -3.65853658536585 -0.231063109109605
0.496 -9.2741935483871 -9.5052566574967
0.534 -14.2322097378277 -23.7374663953244
0.564 -19.5035460992908 -43.2410124946152
0.544 -1.83823529411765 -45.0792477887328
0.497 2.61569416498994 -42.4635536237429
0.443 6.99774266365688 -35.465810960086
0.436 5.04587155963303 -30.419939400453
0.446 -17.4887892376682 -47.9087286381212
0.455 -6.37362637362637 -54.2823550117475
0.481 -11.8503118503119 -66.1326668620594
0.478 -4.60251046025105 -70.7351773223104
0.466 0 -70.7351773223104
0.458 -11.353711790393 -82.0888891127034
0.453 -9.49227373068433 -91.5811628433878
0.468 -5.12820512820513 -96.7093679715929
0.513 -2.53411306042885 -99.2434810320217
0.497 1.81086519114688 -97.4326158408749
0.462 -1.2987012987013 -98.7313171395762
0.463 -7.55939524838013 -106.290712387956
0.442 -13.5746606334842 -119.86537302144
0.451 3.32594235033259 -116.539430671108
0.479 3.96659707724426 -112.572833593864
0.487 0.616016427104723 -111.956817166759
0.5 -5.2 -117.156817166759
0.51 -10.9803921568627 -128.137209323622
0.522 -2.68199233716475 -130.819201660786
0.513 -7.21247563352826 -138.031677294315
0.529 -8.12854442344045 -146.160221717755
0.455 -1.53846153846154 -147.698683256217
0.552 -17.0289855072464 -164.727668763463
0.526 -7.98479087452472 -172.712459637988
0.549 -5.64663023679417 -178.359089874782
0.487 -5.95482546201232 -184.313915336794
0.525 -12.7619047619048 -197.075820098699
0.496 -2.41935483870968 -199.495174937409
0.526 -2.28136882129278 -201.776543758701
0.508 1.18110236220472 -200.595441396497
0.523 -7.07456978967495 -207.670011186172
0.517 -14.5067698259188 -222.17678101209
0.488 -3.68852459016393 -225.865305602254
0.512 -12.5 -238.365305602254
0.527 -17.2675521821632 -255.632857784418
0.526 -2.66159695817491 -258.294454742592
0.486 -6.99588477366255 -265.290339516255
0.501 -9.3812375249501 -274.671577041205
0.497 -7.44466800804829 -282.116245049253
0.491 -13.6456211812627 -295.761866230516
0.528 -7.57575757575758 -303.337623806274
0.49 -7.3469387755102 -310.684562581784
0.55 -13.0909090909091 -323.775471672693
0.565 -10.4424778761062 -334.217949548799
0.531 -6.21468926553672 -340.432638814336
0.497 -1.40845070422535 -341.841089518561
0.54 -0.37037037037037 -342.211459888932
0.537 -9.86964618249534 -352.081106071427
0.51 -10.1960784313725 -362.2771845028
0.465 2.79569892473118 -359.481485578068
0.491 -6.31364562118126 -365.79513119925
0.53 -0.377358490566038 -366.172489689816
0.514 -1.55642023346304 -367.728909923279
0.531 -2.07156308851224 -369.800473011791
0.513 -4.48343079922027 -374.283903811011
0.508 -5.11811023622047 -379.402014047232
0.538 -6.31970260223048 -385.721716649462
0.518 -1.54440154440154 -387.266118193864
0.477 -3.9832285115304 -391.249346705394
0.55 -13.8181818181818 -405.067528523576
0.543 -13.0755064456722 -418.143034969248
0.519 -14.4508670520231 -432.593902021271
0.541 -6.09981515711645 -438.693717178388
0.506 -6.32411067193676 -445.017827850324
0.478 -12.5523012552301 -457.570129105555
0.525 -14.2857142857143 -471.855843391269
0.527 -13.4724857685009 -485.32832915977
0.519 -22.1579961464355 -507.486325306205
0.514 -9.33852140077821 -516.824846706983
0.509 -2.16110019646365 -518.985946903447
0.52 -10 -528.985946903447
0.526 -7.60456273764259 -536.59050964109
0.527 -2.84629981024668 -539.436809451336
0.548 -2.18978102189781 -541.626590473234
0.497 2.61569416498994 -539.010896308244
0.475 -3.57894736842105 -542.589843676665
0.484 -4.54545454545455 -547.13529822212
0.503 -11.7296222664016 -558.864920488521
0.507 -0.986193293885602 -559.851113782407
0.494 -8.90688259109312 -568.7579963735
0.509 -3.7328094302554 -572.490805803756
0.515 -4.46601941747573 -576.956825221231
0.524 -2.67175572519084 -579.628580946422
0.521 -6.71785028790787 -586.34643123433
0.528 -1.89393939393939 -588.240370628269
0.487 -2.25872689938398 -590.499097527653
0.498 -1.60642570281124 -592.105523230465
0.532 0 -592.105523230465
0.482 -3.7344398340249 -595.83996306449
0.515 -7.57281553398058 -603.41277859847
0.535 -9.90654205607477 -613.319320654545
0.501 -9.3812375249501 -622.700558179495
0.535 -8.03738317757009 -630.737941357065
0.51 -10.5882352941176 -641.326176651183
0.528 -6.06060606060606 -647.386782711789
0.545 -6.05504587155963 -653.441828583348
0.499 -2.60521042084168 -656.04703900419
0.51 -7.05882352941176 -663.105862533602
0.475 -10.7368421052632 -673.842704638865
0.502 -4.38247011952191 -678.225174758387
0.514 -14.0077821011673 -692.232956859554
0.532 -12.781954887218 -705.014911746772
0.524 -8.77862595419847 -713.793537700971
0.516 -2.32558139534884 -716.11911909632
0.499 -3.0060120240481 -719.125131120368
0.545 -0.55045871559633 -719.675589835964
0.488 11.0655737704918 -708.610016065472
0.491 -6.31364562118126 -714.923661686653
0.487 -6.77618069815195 -721.699842384805
0.488 -9.01639344262295 -730.716235827428
0.506 -7.11462450592885 -737.830860333357
0.528 -9.84848484848485 -747.679345181842
0.488 1.22950819672131 -746.449836985121
0.5 -6 -752.449836985121
0.533 -11.4446529080675 -763.894489893188
0.509 -12.37721021611 -776.271700109298
0.492 -7.31707317073171 -783.58877328003
0.504 -6.74603174603175 -790.334805026062
0.492 -8.94308943089431 -799.277894456956
0.512 -13.28125 -812.559144456956
0.546 -8.42490842490843 -820.984052881864
0.484 -5.78512396694215 -826.769176848807
0.489 -6.33946830265849 -833.108645151465
0.523 -2.10325047801147 -835.211895629477
0.506 -8.69565217391304 -843.90754780339
0.478 -1.25523012552301 -845.162777928913
0.522 -3.44827586206897 -848.611053790982
0.498 -8.83534136546185 -857.446395156443
0.495 -1.81818181818182 -859.264576974625
0.519 -3.66088631984586 -862.925463294471
0.477 -11.5303983228512 -874.455861617322
0.521 2.11132437619962 -872.344537241123
0.534 -5.61797752808989 -877.962514769213
0.476 -2.52100840336134 -880.483523172574
0.521 -9.40499040307102 -889.888513575645
0.496 -13.3064516129032 -903.194965188548
0.498 -6.82730923694779 -910.022274425496
0.53 -11.3207547169811 -921.343029142477
0.497 -13.8832997987928 -935.22632894127
0.465 -9.67741935483871 -944.903748296109
0.495 -10.3030303030303 -955.206778599139
0.507 -7.29783037475345 -962.504608973892
0.481 -6.86070686070686 -969.365315834599
0.511 0.587084148727984 -968.778231685871
0.503 -12.1272365805169 -980.905468266388
0.518 -5.79150579150579 -986.696974057894
0.543 -20.4419889502762 -1007.13896300817
0.511 -13.894324853229 -1021.0332878614
0.526 -10.2661596958175 -1031.29944755722
0.545 -13.0275229357798 -1044.326970493
0.534 -9.36329588014981 -1053.69026637315
0.499 -10.2204408817635 -1063.91070725491
0.499 -7.01402805611222 -1070.92473531102
0.449 -9.13140311804009 -1080.05613842906
0.425 -8.23529411764706 -1088.29143254671
0.515 -4.85436893203883 -1093.14580147875
0.523 -12.810707456979 -1105.95650893573
0.499 -5.81162324649299 -1111.76813218222
0.526 -5.70342205323194 -1117.47155423545
0.502 -19.5219123505976 -1136.99346658605
0.517 -4.06189555125725 -1141.05536213731
0.552 -5.79710144927536 -1146.85246358658
0.516 -16.2790697674419 -1163.13153335402
0.496 -14.5161290322581 -1177.64766238628
0.5 -4 -1181.64766238628
0.52 -11.9230769230769 -1193.57073930936
0.504 -9.12698412698413 -1202.69772343634
0.503 -11.7296222664016 -1214.42734570274
0.484 -5.37190082644628 -1219.79924652919
0.476 -9.66386554621849 -1229.46311207541
0.489 -12.4744376278119 -1241.93754970322
0.487 -14.1683778234086 -1256.10592752663
0.566 -4.59363957597173 -1260.6995671026
0.514 -1.55642023346304 -1262.25598733606
0.596 -2.68456375838926 -1264.94055109445
0.501 -4.59081836327345 -1269.53136945773
0.512 -4.6875 -1274.21886945773
0.497 -9.05432595573441 -1283.27319541346
0.55 2.54545454545455 -1280.72774086801
0.533 -1.31332082551595 -1282.04106169352
0.519 -5.58766859344894 -1287.62873028697
0.534 -5.61797752808989 -1293.24670781506
0.537 -9.12476722532588 -1302.37147504039
0.496 -2.82258064516129 -1305.19405568555
0.495 -11.9191919191919 -1317.11324760474
0.485 -4.32989690721649 -1321.44314451196
0.497 -1.81086519114688 -1323.2540097031
0.492 2.84552845528455 -1320.40848124782
0.536 -1.86567164179104 -1322.27415288961
0.497 -10.6639839034205 -1332.93813679303
0.514 -10.1167315175097 -1343.05486831054
0.522 5.3639846743295 -1337.69088363621
0.523 -9.75143403441683 -1347.44231767063
0.477 -3.14465408805031 -1350.58697175868
0.489 -14.519427402863 -1365.10639916154
0.493 -11.5618661257606 -1376.6682652873
0.536 -7.46268656716418 -1384.13095185447
0.515 -6.79611650485437 -1390.92706835932
0.508 3.93700787401575 -1386.99006048531
0.497 3.420523138833 -1383.56953734647
0.531 -10.3578154425612 -1393.92735278903
0.504 -1.58730158730159 -1395.51465437634
0.511 -10.7632093933464 -1406.27786376968
0.499 -5.81162324649299 -1412.08948701617
0.516 -4.26356589147287 -1416.35305290765
0.521 -4.79846449136276 -1421.15151739901
0.506 -3.95256916996047 -1425.10408656897
0.54 -7.03703703703704 -1432.14112360601
0.514 -0.389105058365759 -1432.53022866437
0.475 -8.21052631578947 -1440.74075498016
0.465 -1.50537634408602 -1442.24613132425
0.493 -8.31643002028398 -1450.56256134453
0.472 -2.96610169491525 -1453.52866303945
0.496 -6.85483870967742 -1460.38350174913
0.522 -10.3448275862069 -1470.72832933533
0.495 -8.68686868686869 -1479.4151980222
0.517 0.967117988394584 -1478.44808003381
0.498 -8.83534136546185 -1487.28342139927
0.5 -2.8 -1490.08342139927
0.512 -11.328125 -1501.41154639927
0.481 4.78170478170478 -1496.62984161756
0.531 4.33145009416196 -1492.2983915234
0.517 -1.74081237911025 -1494.03920390251
0.515 -4.07766990291262 -1498.11687380542
0.539 -8.71985157699443 -1506.83672538242
0.523 -7.83938814531549 -1514.67611352773
0.516 -10.8527131782946 -1525.52882670603
0.513 -6.82261208576998 -1532.3514387918
0.525 3.23809523809524 -1529.1133435537
0.53 -7.54716981132075 -1536.66051336502
0.606 -2.97029702970297 -1539.63081039473
0.634 -9.14826498422713 -1548.77907537895
0.659 -11.0773899848255 -1559.85646536378
0.674 -8.01186943620178 -1567.86833479998
0.664 -9.33734939759036 -1577.20568419757
0.66 -8.48484848484848 -1585.69053268242
0.632 -1.89873417721519 -1587.58926685964
0.642 1.24610591900312 -1586.34316094063
0.577 -8.49220103986135 -1594.83536198049
0.577 -10.9185441941075 -1605.7539061746
0.604 0.993377483443709 -1604.76052869116
0.594 -2.35690235690236 -1607.11743104806
0.56 -3.21428571428571 -1610.33171676235
0.57 -4.21052631578947 -1614.54224307814
0.59 -4.06779661016949 -1618.6100396883
0.607 1.81219110378913 -1616.79784858452
0.614 7.16612377850163 -1609.63172480601
0.587 -1.53321976149915 -1611.16494456751
0.598 -0.334448160535117 -1611.49939272805
0.594 -5.38720538720539 -1616.88659811525
0.58 -8.96551724137931 -1625.85211535663
0.581 -7.05679862306368 -1632.9089139797
0.611 -4.74631751227496 -1637.65523149197
0.629 -9.37996820349762 -1647.03519969547
0.571 -9.28196147110333 -1656.31716116657
0.655 -1.06870229007634 -1657.38586345665
0.617 2.43111831442464 -1654.95474514222
0.644 -4.03726708074534 -1658.99201222297
0.512 -7.8125 -1666.80451222297
0.459 -7.18954248366013 -1673.99405470663
0.482 -8.29875518672199 -1682.29280989335
0.555 -5.22522522522523 -1687.51803511858
0.516 -8.13953488372093 -1695.6575700023
0.479 -0.208768267223382 -1695.86633826952
0.507 1.38067061143984 -1694.48566765808
0.532 -6.01503759398496 -1700.50070525207
0.521 -9.021113243762 -1709.52181849583
0.504 -17.4603174603175 -1726.98213595615
0.476 -1.26050420168067 -1728.24264015783
0.468 -11.5384615384615 -1739.78110169629
0.555 3.42342342342342 -1736.35767827286
0.523 -2.48565965583174 -1738.8433379287
0.499 -10.2204408817635 -1749.06377881046
0.522 -0.383141762452107 -1749.44692057291
0.509 1.37524557956778 -1748.07167499334
0.486 0.411522633744856 -1747.6601523596
0.507 -11.2426035502959 -1758.9027559099
0.497 0.201207243460765 -1758.70154866643
0.516 -3.87596899224806 -1762.57751765868
0.501 -10.1796407185629 -1772.75715837725
0.493 -4.66531440162272 -1777.42247277887
0.452 -10.6194690265487 -1788.04194180542
0.449 -2.00445434298441 -1790.0463961484
0.457 -15.9737417943107 -1806.02013794271
0.546 -5.12820512820513 -1811.14834307092
0.469 -2.77185501066098 -1813.92019808158
0.486 -2.46913580246914 -1816.38933388405
0.494 -1.61943319838057 -1818.00876708243
0.492 -6.91056910569106 -1824.91933618812
0.491 -9.57230142566191 -1834.49163761378
0.505 -3.36633663366337 -1837.85797424744
0.443 -6.99774266365688 -1844.8557169111
0.482 -2.9045643153527 -1847.76028122645
0.507 -4.93096646942801 -1852.69124769588
0.505 -3.36633663366337 -1856.05758432955
0.493 -7.91075050709939 -1863.96833483664
0.493 -12.7789046653144 -1876.74723950196
0.483 -6.83229813664596 -1883.5795376386
0.483 -3.93374741200828 -1887.51328505061
0.479 -6.47181628392484 -1893.98510133454
0.538 -14.4981412639405 -1908.48324259848
0.537 -11.3594040968343 -1919.84264669531
0.514 5.05836575875486 -1914.78428093656
0.503 -6.16302186878728 -1920.94730280535
0.539 -6.12244897959184 -1927.06975178494
0.516 -10.4651162790698 -1937.53486806401
0.511 1.76125244618395 -1935.77361561782
0.52 -3.84615384615385 -1939.61976946398
0.458 0 -1939.61976946398
0.439 -0.683371298405467 -1940.30314076238
0.542 0 -1940.30314076238
0.531 -3.95480225988701 -1944.25794302227
0.55 -4.36363636363636 -1948.62157938591
0.536 -6.34328358208955 -1954.964862968
0.514 -2.33463035019455 -1957.29949331819
